GEOID,Year,County,State,Census_Population,County_PrEP_Users,Poverty_Percentage,HIV_Cases,Chlamydia_Cases,HIV_Cases_Per_Hundred_Thousand,PrEP,Chlamydia_Cases_Per_Hundred_Thousand
34001,2008,Atlantic,New Jersey,270609,,0.11,51,1160,18,,428
34003,2008,Bergen,New Jersey,889915,,0.05,67,950,7,,106
34005,2008,Burlington,New Jersey,445492,,0.05,41,1089,9,,244
34007,2008,Camden,New Jersey,517739,,0.11,75,2380,14,,459
34009,2008,Cape May,New Jersey,96470,,0.09,10,172,10,,178
34011,2008,Cumberland,New Jersey,156784,,0.13,40,722,25,,460
34013,2008,Essex,New Jersey,767075,,0.15,381,4960,49,,646
34015,2008,Gloucester,New Jersey,288168,,0.07,26,527,9,,182
34017,2008,Hudson,New Jersey,592111,,0.15,186,1921,31,,324
34019,2008,Hunterdon,New Jersey,129806,,0.04,11,97,8,,74
34021,2008,Mercer,New Jersey,364571,,0.09,97,1222,26,,335
34023,2008,Middlesex,New Jersey,785324,,0.07,72,1595,9,,203
34025,2008,Monmouth,New Jersey,641864,,0.06,74,974,11,,151
34027,2008,Morris,New Jersey,486946,,0.04,32,415,6,,85
34029,2008,Ocean,New Jersey,569662,,0.09,25,583,4,,102
34031,2008,Passaic,New Jersey,488364,,0.14,91,1301,18,,266
34033,2008,Salem,New Jersey,66194,,0.11,5,164,7,,247
34035,2008,Somerset,New Jersey,323160,,0.04,41,385,12,,119
34037,2008,Sussex,New Jersey,151431,,0.05,,75,,,49
34039,2008,Union,New Jersey,521816,,0.09,95,1614,18,,309
34041,2008,Warren,New Jersey,109897,,0.07,,99,,,90
34001,2009,Atlantic,New Jersey,271712,,0.109,57,1168,20,,429
34003,2009,Bergen,New Jersey,895250,,0.066,65,1081,7,,120
34005,2009,Burlington,New Jersey,446108,,0.061,37,1108,8,,248
34007,2009,Camden,New Jersey,517879,,0.113,70,2538,13,,490
34009,2009,Cape May,New Jersey,96091,,0.107,10,227,10,,236
34011,2009,Cumberland,New Jersey,157745,,0.164,35,639,22,,405
34013,2009,Essex,New Jersey,769644,,0.144,399,5014,51,,651
34015,2009,Gloucester,New Jersey,289920,,0.077,10,556,3,,191
34017,2009,Hudson,New Jersey,597924,,0.146,190,2034,31,,340
34019,2009,Hunterdon,New Jersey,130034,,0.043,7,139,5,,106
34021,2009,Mercer,New Jersey,366222,,0.108,73,1374,19,,375
34023,2009,Middlesex,New Jersey,790738,,0.079,62,1721,7,,217
34025,2009,Monmouth,New Jersey,644105,,0.069,86,1039,13,,161
34027,2009,Morris,New Jersey,488518,,0.038,32,474,6,,97
34029,2009,Ocean,New Jersey,573678,,0.082,23,645,4,,112
34031,2009,Passaic,New Jersey,491778,,0.165,99,1590,20,,323
34033,2009,Salem,New Jersey,66342,,0.102,,229,,,345
34035,2009,Somerset,New Jersey,326869,,0.044,29,425,8,,130
34037,2009,Sussex,New Jersey,151118,,0.054,6,117,3,,77
34039,2009,Union,New Jersey,526426,,0.095,89,1758,16,,333
34041,2009,Warren,New Jersey,109638,,0.07,,98,,,89
34001,2010,Atlantic,New Jersey,274654,,0.136,39,1347,14,,490
34003,2010,Bergen,New Jersey,906293,,0.069,52,1047,5,,115
34005,2010,Burlington,New Jersey,449125,,0.057,34,1300,7,,289
34007,2010,Camden,New Jersey,513283,,0.123,68,2969,13,,578
34009,2010,Cape May,New Jersey,97222,,0.114,8,218,8,,224
34011,2010,Cumberland,New Jersey,156667,,0.17,25,751,15,,479
34013,2010,Essex,New Jersey,784017,,0.164,368,5340,46,,681
34015,2010,Gloucester,New Jersey,289158,,0.068,16,575,5,,198
34017,2010,Hudson,New Jersey,635648,,0.165,213,2231,33,,350
34019,2010,Hunterdon,New Jersey,127323,,0.04,7,120,5,,94
34021,2010,Mercer,New Jersey,367717,,0.117,93,1471,25,,400
34023,2010,Middlesex,New Jersey,810813,,0.077,81,1734,9,,213
34025,2010,Monmouth,New Jersey,630454,,0.068,52,1083,8,,171
34027,2010,Morris,New Jersey,492623,,0.057,40,512,8,,103
34029,2010,Ocean,New Jersey,577574,,0.11,20,758,3,,131
34031,2010,Passaic,New Jersey,502010,,0.156,91,1908,18,,380
34033,2010,Salem,New Jersey,65983,,0.112,,205,,,310
34035,2010,Somerset,New Jersey,324120,,0.052,32,496,9,,153
34037,2010,Sussex,New Jersey,148859,,0.057,7,133,4,,89
34039,2010,Union,New Jersey,537336,,0.109,92,1812,17,,337
34041,2010,Warren,New Jersey,108572,,0.074,,132,,,121
34001,2011,Atlantic,New Jersey,274635,,0.131,38,1123,13,,408
34003,2011,Bergen,New Jersey,912024,,0.066,55,1186,6,,130
34005,2011,Burlington,New Jersey,450250,,0.057,46,1093,10,,242
34007,2011,Camden,New Jersey,512610,,0.132,73,3018,14,,588
34009,2011,Cape May,New Jersey,96522,,0.118,,260,,,269
34011,2011,Cumberland,New Jersey,157028,,0.167,22,827,14,,526
34013,2011,Essex,New Jersey,785576,,0.172,316,5263,40,,669
34015,2011,Gloucester,New Jersey,289703,,0.074,15,731,5,,252
34017,2011,Hudson,New Jersey,645658,,0.162,168,2101,26,,325
34019,2011,Hunterdon,New Jersey,127348,,0.043,6,111,4,,87
34021,2011,Mercer,New Jersey,367407,,0.111,64,1487,17,,404
34023,2011,Middlesex,New Jersey,815253,,0.085,55,1751,6,,214
34025,2011,Monmouth,New Jersey,629144,,0.069,56,1182,8,,187
34027,2011,Morris,New Jersey,494801,,0.05,34,510,6,,103
34029,2011,Ocean,New Jersey,578922,,0.113,11,738,1,,127
34031,2011,Passaic,New Jersey,503257,,0.162,84,1974,16,,392
34033,2011,Salem,New Jersey,65880,,0.118,,215,,,326
34035,2011,Somerset,New Jersey,326277,,0.052,27,527,8,,161
34037,2011,Sussex,New Jersey,148185,,0.058,,164,,,110
34039,2011,Union,New Jersey,539918,,0.107,82,1803,15,,333
34041,2011,Warren,New Jersey,108154,,0.077,,145,,,134
34001,2012,Atlantic,New Jersey,274657,14,0.142,56,1134,20,5,412
34003,2012,Bergen,New Jersey,916299,34,0.08,63,1228,6,3,134
34005,2012,Burlington,New Jersey,450667,18,0.066,45,1266,9,3,280
34007,2012,Camden,New Jersey,511636,30,0.126,67,2805,13,5,548
34009,2012,Cape May,New Jersey,96267,5,0.109,10,192,10,5,199
34011,2012,Cumberland,New Jersey,156862,6,0.187,24,932,15,3,594
34013,2012,Essex,New Jersey,785092,42,0.172,342,5237,43,5,667
34015,2012,Gloucester,New Jersey,289839,11,0.086,13,810,4,3,279
34017,2012,Hudson,New Jersey,652373,27,0.166,197,2194,30,4,336
34019,2012,Hunterdon,New Jersey,126658,5,0.046,10,138,7,3,108
34021,2012,Mercer,New Jersey,368628,25,0.105,51,1679,13,6,455
34023,2012,Middlesex,New Jersey,819389,33,0.096,76,1883,9,4,229
34025,2012,Monmouth,New Jersey,627682,24,0.073,64,1233,10,3,196
34027,2012,Morris,New Jersey,495623,16,0.047,30,575,6,3,116
34029,2012,Ocean,New Jersey,580013,22,0.11,30,725,5,3,124
34031,2012,Passaic,New Jersey,503531,23,0.156,83,2127,16,4,422
34033,2012,Salem,New Jersey,65427,3,0.112,,205,,4,313
34035,2012,Somerset,New Jersey,327462,12,0.061,28,524,8,3,160
34037,2012,Sussex,New Jersey,147003,5,0.062,5,164,3,3,111
34039,2012,Union,New Jersey,542977,20,0.109,72,1849,13,3,340
34041,2012,Warren,New Jersey,107586,3,0.069,,131,,2,121
34001,2013,Atlantic,New Jersey,274360,12,0.171,42,1275,15,4,464
34003,2013,Bergen,New Jersey,920021,51,0.081,67,1374,7,5,149
34005,2013,Burlington,New Jersey,448992,23,0.062,29,1343,6,5,299
34007,2013,Camden,New Jersey,509983,34,0.147,71,2716,13,6,532
34009,2013,Cape May,New Jersey,95540,3,0.108,,254,,3,265
34011,2013,Cumberland,New Jersey,155912,4,0.201,16,1034,10,2,663
34013,2013,Essex,New Jersey,786685,50,0.177,294,5221,37,6,663
34015,2013,Gloucester,New Jersey,289935,15,0.094,14,749,4,5,258
34017,2013,Hudson,New Jersey,657101,60,0.194,185,2325,28,9,353
34019,2013,Hunterdon,New Jersey,126443,4,0.041,7,140,5,3,110
34021,2013,Mercer,New Jersey,369534,18,0.118,61,1716,16,4,464
34023,2013,Middlesex,New Jersey,821811,40,0.094,66,2111,8,4,256
34025,2013,Monmouth,New Jersey,626964,31,0.078,67,1228,10,4,195
34027,2013,Morris,New Jersey,496050,29,0.049,28,599,5,5,120
34029,2013,Ocean,New Jersey,582166,18,0.105,28,775,4,3,133
34031,2013,Passaic,New Jersey,503815,22,0.166,78,2307,15,4,457
34033,2013,Salem,New Jersey,64801,3,0.15,10,196,15,4,302
34035,2013,Somerset,New Jersey,329052,13,0.057,34,567,10,3,172
34037,2013,Sussex,New Jersey,145672,7,0.061,6,183,4,4,125
34039,2013,Union,New Jersey,546051,31,0.115,96,1821,17,5,333
34041,2013,Warren,New Jersey,106933,4,0.087,,190,,3,177
34001,2014,Atlantic,New Jersey,272634,24,0.151,31,1278,11,8,468
34003,2014,Bergen,New Jersey,923475,85,0.076,70,1567,7,9,169
34005,2014,Burlington,New Jersey,449806,49,0.072,41,1419,9,10,315
34007,2014,Camden,New Jersey,508409,66,0.13,76,2626,14,12,516
34009,2014,Cape May,New Jersey,94961,10,0.13,,274,,10,288
34011,2014,Cumberland,New Jersey,155887,10,0.195,18,987,11,6,633
34013,2014,Essex,New Jersey,788796,92,0.167,314,5542,39,11,702
34015,2014,Gloucester,New Jersey,290742,31,0.082,14,799,4,10,274
34017,2014,Hudson,New Jersey,660312,125,0.177,189,2624,28,18,397
34019,2014,Hunterdon,New Jersey,125902,11,0.047,14,158,11,8,125
34021,2014,Mercer,New Jersey,369031,36,0.118,65,1691,17,9,458
34023,2014,Middlesex,New Jersey,824331,106,0.083,65,2164,7,12,262
34025,2014,Monmouth,New Jersey,625581,48,0.082,42,1308,6,7,209
34027,2014,Morris,New Jersey,494931,41,0.05,22,640,4,8,129
34029,2014,Ocean,New Jersey,584563,40,0.119,29,909,4,6,155
